상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,1분기매출,2분기매출,3분기매출,4분기매출,분기별매출평균,점포수
1000020,지봉로8길,CS100008,분식전문점,15866690.67,14583675.33,14696757.67,18304210,15862833.42,3
1000020,지봉로8길,CS100009,호프-간이주점,46708538.67,37517603,32158826.5,26633558.5,35754631.67,3.75
1000020,지봉로8길,CS100010,커피-음료,47501202,58578988,63691433,,56590541,1
1000020,지봉로8길,CS200001,일반교습학원,18287235.75,24614142,41395829,37219920.67,30379281.85,3.5
1000020,지봉로8길,CS200003,예술학원,,7623529.5,,15247059,11435294.25,1.5
1000020,지봉로8길,CS200028,미용실,4960554.286,5536341.429,4227357.571,8038974.429,5690806.929,7
1000020,지봉로8길,CS300001,슈퍼마켓,606219739,639875542,554478142,662357725,615732787,1
1000020,지봉로8길,CS300002,편의점,115996183,124772483,134478245,,125082303.7,1
1000020,지봉로8길,CS300010,반찬가게,,43209,,,43209,1
1000020,지봉로8길,CS300011,일반의류,655569.7273,1818376.364,169701.2727,1131584.917,943808.0701,11.25
1000020,지봉로8길,CS300022,화장품,,,,23341726.5,23341726.5,2
1000021,창경궁로35길,CS100001,한식음식점,86232311.67,89890312.33,85412541.33,140909693.7,100611214.8,9
1000021,창경궁로35길,CS100006,패스트푸드점,30345201,29927979,23946517,24759204,27244725.25,1
1000021,창경궁로35길,CS100008,분식전문점,,,,24685.33333,24685.33333,6
1000021,창경궁로35길,CS100010,커피-음료,12972092.55,9330455.75,12029905.83,10377783.25,11177559.34,11.75
1000021,창경궁로35길,CS200001,일반교습학원,92149113,73238266.5,90245595.5,80851265,84121060,2
1000021,창경궁로35길,CS200003,예술학원,85147831,106843038,118883672,102857078,103432904.8,1
1000021,창경궁로35길,CS200028,미용실,356691508,379396713,375267403,412631529,380996788.3,1
1000021,창경궁로35길,CS200031,세탁소,14529967.5,28997533.5,16692132,28957399.5,22294258.13,2
1000021,창경궁로35길,CS300001,슈퍼마켓,327193810,314977971.5,218528460,317650845,294587771.6,2.25
1000021,창경궁로35길,CS300007,육류판매,37917458,27642852,32210466,35741199,33377993.75,1
1000021,창경궁로35길,CS300011,일반의류,17354009.8,17925012.4,15949138.25,20288701.25,17879215.43,4.5
1000022,창신2길,CS100001,한식음식점,40994747.44,38126949.06,31374089.06,38154735.67,37162630.31,18
1000022,창신2길,CS100002,중식음식점,,,,42081982,42081982,1
1000022,창신2길,CS100008,분식전문점,39844832.2,30422057.4,38917102.4,36123796.5,36326947.13,4.75
1000022,창신2길,CS100009,호프-간이주점,40720187,35597337,38344035,35368896,37507613.75,1
1000022,창신2길,CS100010,커피-음료,137689.5,1091395.5,234882.5,,487989.1667,2
1000022,창신2길,CS200001,일반교습학원,21961884,16550789,13078501,16993269.5,17146110.88,2
1000022,창신2길,CS200005,스포츠 강습,29016394,4918033,,6393443,13442623.33,1
1000022,창신2길,CS200016,당구장,11393939,1055964,11861705,11659239,8992711.75,1
1000022,창신2길,CS200028,미용실,1327417,2024588.5,3244268,2912477.25,2377187.688,4
1000022,창신2길,CS200037,노래방,22413389,20056633,22169283,29969837,23652285.5,1
1000022,창신2길,CS300001,슈퍼마켓,20332202.5,4348904,7464614,,10715240.17,2
1000022,창신2길,CS300002,편의점,496689405,507932007,546706550,521069347,518099327.3,1
1000022,창신2길,CS300011,일반의류,,,,6290796.5,6290796.5,4
1000022,창신2길,CS300022,화장품,29660829,35499849,31941126,58180662,38820616.5,1
1000023,창신5길,CS100001,한식음식점,7235511.5,26973867,14398714.75,11688346.25,15074109.88,4
1000023,창신5길,CS100005,제과점,4012312,6019926,3314920,5407095,4688563.25,1
1000023,창신5길,CS100008,분식전문점,8149293,9915868.5,8917369.5,27535545.5,13629519.13,2
1000023,창신5길,CS100009,호프-간이주점,4727770,4662107,2779754,3370725,3885089,1
1000023,창신5길,CS200028,미용실,5438114,4053933,4569453.2,5428362.4,4872465.65,5
1000023,창신5길,CS200037,노래방,310724,2197802,2660098.5,155362,1330996.625,2
1000023,창신5길,CS300001,슈퍼마켓,61485540.33,67631968,73920029.29,71498061.43,68633899.76,7.5
1000023,창신5길,CS300002,편의점,174284980,195121687,211738810,199294112,195109897.3,1
1000023,창신5길,CS300007,육류판매,48250011,52651402,57877780,53151660,52982713.25,1
1000024,창신길,CS100001,한식음식점,234159.6667,4132231.333,895317,1404958.667,1666666.667,3
1000024,창신길,CS100006,패스트푸드점,3000000,3000000,3000000,,3000000,1
1000024,창신길,CS100009,호프-간이주점,11081649,11306118,13507482,12184300,12019887.25,1
1000024,창신길,CS200016,당구장,10226395,3208297,7227939,3524569,6046800,1
1000024,창신길,CS200028,미용실,3140160,2314555.333,4106737.667,355586.3333,2479259.833,3
1000024,창신길,CS300001,슈퍼마켓,98590861,103549728,124951706.5,118898988.3,111497820.9,4
1000024,창신길,CS300011,일반의류,,1708029,2080292,10012945,4600422,1
